Round,Accuracy,Accumulated Client Time,Accumulated Server Time,Accumulated Client Message Counts,Accumulated Server Message Counts,Accumulated Client Message Sizes,Accumulated Server Message Sizes
1,0.08839999884366989,9353.616952896118,336.37022972106934,200,3,488787.01171875,9795.93359375
2,0.10429999977350235,18210.132598876953,484.77911949157715,300,4,977553.41796875,14683.59765625
3,0.09229999780654907,26238.470315933228,636.9709968566895,400,5,1466319.82421875,19571.26171875
4,0.09520000219345093,34502.66075134277,772.7222442626953,500,6,1955086.23046875,24458.92578125
5,0.09719999879598618,42528.86772155762,911.1154079437256,600,7,2443852.63671875,29346.58984375
6,0.09969999641180038,50732.34534263611,1049.0202903747559,700,8,2932619.04296875,34234.25390625
7,0.10180000215768814,58632.34543800354,1184.962511062622,800,9,3421385.44921875,39121.91796875
8,0.10540000349283218,66504.1778087616,1332.7553272247314,900,10,3910151.85546875,44009.58203125
9,0.10559999942779541,74368.59631538391,1469.0721035003662,1000,11,4398918.26171875,48897.24609375
10,0.11219999939203262,82386.21401786804,1605.480432510376,1100,12,4887684.66796875,53784.91015625
11,0.11580000072717667,90129.54759597778,1742.1596050262451,1200,13,5376451.07421875,58672.57421875
12,0.11890000104904175,97213.22131156921,1883.1005096435547,1300,14,5865217.48046875,63560.23828125
13,0.1200999990105629,104884.46760177612,2017.6079273223877,1400,15,6353983.88671875,68447.90234375
14,0.12250000238418579,112894.76561546326,2156.233549118042,1500,16,6842750.29296875,73335.56640625
15,0.125,120794.15464401245,2296.886205673218,1600,17,7331516.69921875,78223.23046875
16,0.12800000607967377,128902.45342254639,2434.3326091766357,1700,18,7820283.10546875,83110.89453125
17,0.12860000133514404,136588.036775589,2570.279598236084,1800,19,8309049.51171875,87998.55859375
18,0.13269999623298645,144559.40890312195,2712.0120525360107,1900,20,8797815.91796875,92886.22265625
19,0.13410000503063202,152083.76049995422,2845.897436141968,2000,21,9286582.32421875,97773.88671875
20,0.1331000030040741,159795.4821586609,2980.787754058838,2100,22,9775348.73046875,102661.55078125
21,0.13249999284744263,167439.69058990479,3121.3743686676025,2200,23,10264115.13671875,107549.21484375
22,0.13429999351501465,175451.6794681549,3259.4525814056396,2300,24,10752881.54296875,112436.87890625
23,0.13410000503063202,183000.52952766418,3397.2651958465576,2400,25,11241647.94921875,117324.54296875
24,0.13850000500679016,190155.82513809204,3534.9254608154297,2500,26,11730414.35546875,122212.20703125
25,0.13770000636577606,197243.12806129456,3669.04354095459,2600,27,12219180.76171875,127099.87109375
26,0.13899999856948853,204970.8788394928,3805.622339248657,2700,28,12707947.16796875,131987.53515625
27,0.1387999951839447,212401.5395641327,3945.021390914917,2800,29,13196713.57421875,136875.19921875
28,0.13989999890327454,220329.70714569092,4083.8937759399414,2900,30,13685479.98046875,141762.86328125
29,0.14190000295639038,227737.52284049988,4223.106622695923,3000,31,14174246.38671875,146650.52734375
30,0.1446000039577484,235878.43298912048,4375.04768371582,3100,32,14663012.79296875,151538.19140625
31,0.14630000293254852,243355.09133338928,4512.512922286987,3200,33,15151779.19921875,156425.85546875
32,0.1485999971628189,251521.62098884583,4654.958248138428,3300,34,15640545.60546875,161313.51953125
33,0.15189999341964722,259725.57878494263,4795.5451011657715,3400,35,16129312.01171875,166201.18359375
34,0.15219999849796295,267908.4494113922,4933.388710021973,3500,36,16618078.41796875,171088.84765625
35,0.15469999611377716,275564.85962867737,5068.00651550293,3600,37,17106844.82421875,175976.51171875
36,0.15719999372959137,283590.7516479492,5207.892417907715,3700,38,17595611.23046875,180864.17578125
37,0.16089999675750732,290745.121717453,5343.803882598877,3800,39,18084377.63671875,185751.83984375
38,0.1623000055551529,297750.3423690796,5482.144355773926,3900,40,18573144.04296875,190639.50390625
39,0.1656000018119812,305345.9355831146,5624.390602111816,4000,41,19061910.44921875,195527.16796875
40,0.17159999907016754,313400.0606536865,5762.27593421936,4100,42,19550676.85546875,200414.83203125
41,0.17270000278949738,321440.1617050171,5928.2848834991455,4200,43,20039443.26171875,205302.49609375
42,0.17630000412464142,329499.16911125183,6074.051141738892,4300,44,20528209.66796875,210190.16015625
43,0.17900000512599945,337205.4078578949,6209.8071575164795,4400,45,21016976.07421875,215077.82421875
44,0.1835000067949295,344376.26218795776,6350.351095199585,4500,46,21505742.48046875,219965.48828125
45,0.18970000743865967,351907.8469276428,6498.407602310181,4600,47,21994508.88671875,224853.15234375
46,0.19179999828338623,360063.1353855133,6639.70160484314,4700,48,22483275.29296875,229740.81640625
47,0.19949999451637268,367779.5867919922,6775.995254516602,4800,49,22972041.69921875,234628.48046875
48,0.1996999979019165,375177.51598358154,6955.657482147217,4900,50,23460808.10546875,239516.14453125
49,0.20589999854564667,382835.8442783356,7094.980239868164,5000,51,23949574.51171875,244403.80859375
50,0.20880000293254852,391051.6595840454,7236.1741065979,5100,52,24438340.91796875,249291.47265625
51,0.21369999647140503,398672.7225780487,7382.859945297241,5200,53,24927107.32421875,254179.13671875
52,0.21639999747276306,406696.2525844574,7523.0889320373535,5300,54,25415873.73046875,259066.80078125
53,0.22269999980926514,414268.5010433197,7670.8643436431885,5400,55,25904640.13671875,263954.46484375
54,0.22679999470710754,422277.6527404785,7811.676263809204,5500,56,26393406.54296875,268842.12890625
55,0.2313999980688095,429724.29490089417,7952.815771102905,5600,57,26882172.94921875,273729.79296875
56,0.23549999296665192,437660.2666378021,8110.6109619140625,5700,58,27370939.35546875,278617.45703125
57,0.2371000051498413,444877.0260810852,8248.354434967041,5800,59,27859705.76171875,283505.12109375
58,0.23960000276565552,452014.76860046387,8388.340473175049,5900,60,28348472.16796875,288392.78515625
59,0.2442999929189682,458873.5890388489,8524.109363555908,6000,61,28837238.57421875,293280.44921875
60,0.24570000171661377,466739.3865585327,8663.228034973145,6100,62,29326004.98046875,298168.11328125
61,0.24940000474452972,473778.5007953644,8799.913167953491,6200,63,29814771.38671875,303055.77734375
62,0.25459998846054077,481333.9433670044,8934.573888778687,6300,64,30303537.79296875,307943.44140625
63,0.2558000087738037,488689.6924972534,9073.984861373901,6400,65,30792304.19921875,312831.10546875
64,0.2597000002861023,496476.95422172546,9213.72675895691,6500,66,31281070.60546875,317718.76953125
65,0.26409998536109924,503579.5199871063,9352.26035118103,6600,67,31769837.01171875,322606.43359375
66,0.2651999890804291,511932.70683288574,9493.957042694092,6700,68,32258603.41796875,327494.09765625
67,0.2703000009059906,518979.9053668976,9632.832288742065,6800,69,32747369.82421875,332381.76171875
68,0.27070000767707825,526906.2595367432,9770.690202713013,6900,70,33236136.23046875,337269.42578125
69,0.27079999446868896,533913.2833480835,9909.173250198364,7000,71,33724902.63671875,342157.08984375
70,0.2750000059604645,541707.3881626129,10046.924591064453,7100,72,34213669.04296875,347044.75390625
71,0.2759000062942505,548984.2171669006,10187.70170211792,7200,73,34702435.44921875,351932.41796875
72,0.2761000096797943,556844.0923690796,10325.128078460693,7300,74,35191201.85546875,356820.08203125
73,0.2761000096797943,563923.3508110046,10462.705612182617,7400,75,35679968.26171875,361707.74609375
74,0.27810001373291016,571769.0432071686,10600.965976715088,7500,76,36168734.66796875,366595.41015625
75,0.2775000035762787,578841.2485122681,10736.97566986084,7600,77,36657501.07421875,371483.07421875
76,0.2833999991416931,586627.7737617493,10875.942945480347,7700,78,37146267.48046875,376370.73828125
77,0.2865000069141388,594034.2404842377,11015.536546707153,7800,79,37635033.88671875,381258.40234375
78,0.2867000102996826,601617.6428794861,11156.256198883057,7900,80,38123800.29296875,386146.06640625
79,0.2865000069141388,608797.2872257233,11294.876098632812,8000,81,38612566.69921875,391033.73046875
80,0.28999999165534973,616848.8295078278,11446.476221084595,8100,82,39101333.10546875,395921.39453125
81,0.2890999913215637,624178.026676178,11583.846092224121,8200,83,39590099.51171875,400809.05859375
82,0.290800005197525,632199.5160579681,11722.20230102539,8300,84,40078865.91796875,405696.72265625
83,0.29429998993873596,639095.2022075653,11860.258102416992,8400,85,40567632.32421875,410584.38671875
84,0.29589998722076416,646197.203874588,11998.243570327759,8500,86,41056398.73046875,415472.05078125
85,0.2971000075340271,653512.3369693756,12136.255979537964,8600,87,41545165.13671875,420359.71484375
86,0.3018999993801117,661448.9500522614,12276.837348937988,8700,88,42033931.54296875,425247.37890625
87,0.3028999865055084,668915.3802394867,12418.4250831604,8800,89,42522697.94921875,430135.04296875
88,0.3037000000476837,676732.085943222,12559.220790863037,8900,90,43011464.35546875,435022.70703125
89,0.305400013923645,683819.7522163391,12694.247245788574,9000,91,43500230.76171875,439910.37109375
90,0.3068000078201294,691839.5619392395,12839.344501495361,9100,92,43988997.16796875,444798.03515625
91,0.30489999055862427,699162.2490882874,12978.26623916626,9200,93,44477763.57421875,449685.69921875
92,0.305400013923645,706479.7546863556,13116.27173423767,9300,94,44966529.98046875,454573.36328125
93,0.3068999946117401,713712.8021717072,13256.456136703491,9400,95,45455296.38671875,459461.02734375
94,0.30730000138282776,721661.0698699951,13395.843029022217,9500,96,45944062.79296875,464348.69140625
95,0.30649998784065247,728941.8613910675,13531.404972076416,9600,97,46432829.19921875,469236.35546875
96,0.31049999594688416,736793.7912940979,13668.784379959106,9700,98,46921595.60546875,474124.01953125
97,0.30660000443458557,744123.8255500793,13806.664228439331,9800,99,47410362.01171875,479011.68359375
98,0.31049999594688416,751703.1910419464,13943.400621414185,9900,100,47899128.41796875,483899.34765625
99,0.31139999628067017,759285.1998806,14083.797931671143,10000,101,48387894.82421875,488787.01171875
100,0.3140999972820282,767021.3153362274,14221.112489700317,10100,102,48876661.23046875,493674.67578125
