Round,Accuracy,Accumulated Client Time,Accumulated Server Time,Accumulated Client Message Counts,Accumulated Server Message Counts,Accumulated Client Message Sizes,Accumulated Server Message Sizes
1,0.08399999886751175,9045.231580734253,325.36768913269043,200,3,488787.01171875,9795.93359375
2,0.10180000215768814,17685.04309654236,456.70008659362793,300,4,977553.41796875,14683.59765625
3,0.0892999991774559,25633.41236114502,605.5865287780762,400,5,1466319.82421875,19571.26171875
4,0.09160000085830688,33542.80924797058,744.0569400787354,500,6,1955086.23046875,24458.92578125
5,0.09449999779462814,40540.27843475342,877.488374710083,600,7,2443852.63671875,29346.58984375
6,0.09709999710321426,48433.26377868652,1008.3584785461426,700,8,2932619.04296875,34234.25390625
7,0.10279999673366547,56364.40396308899,1138.5498046875,800,9,3421385.44921875,39121.91796875
8,0.10649999976158142,64345.603466033936,1271.7795372009277,900,10,3910151.85546875,44009.58203125
9,0.10909999907016754,72119.63868141174,1400.986909866333,1000,11,4398918.26171875,48897.24609375
10,0.11289999634027481,78921.69570922852,1528.433084487915,1099,13,4882797.00390625,53785.296875
11,0.11869999766349792,86608.22105407715,1657.247543334961,1198,14,5366675.74609375,58672.9609375
12,0.12219999730587006,94126.82271003723,1788.172960281372,1297,15,5850554.48828125,63560.625
13,0.12330000102519989,101965.48557281494,1918.281078338623,1396,16,6334433.23046875,68448.2890625
14,0.12729999423027039,109551.87773704529,2046.860694885254,1495,17,6818311.97265625,73335.953125
15,0.1273999959230423,117131.39510154724,2176.520824432373,1594,18,7302190.71484375,78223.6171875
16,0.12999999523162842,124627.26092338562,2310.593605041504,1693,19,7786069.45703125,83111.28125
17,0.13249999284744263,132325.2992630005,2440.1471614837646,1792,20,8269948.19921875,87998.9453125
18,0.13449999690055847,139853.37710380554,2573.990821838379,1891,21,8753826.94140625,92886.609375
19,0.13619999587535858,147382.2569847107,2705.3496837615967,1990,22,9237705.68359375,97774.2734375
20,0.1347000002861023,154275.728225708,2833.4102630615234,2088,24,9716696.76171875,102662.3203125
21,0.13770000636577606,161649.50919151306,2965.2466773986816,2186,25,10195687.83984375,107549.984375
22,0.14059999585151672,169313.50803375244,3095.127820968628,2284,26,10674678.91796875,112437.6484375
23,0.14139999449253082,176704.50854301453,3238.8219833374023,2382,27,11153669.99609375,117325.3125
24,0.14219999313354492,183756.31022453308,3369.3509101867676,2480,28,11632661.07421875,122212.9765625
25,0.14390000700950623,191036.11207008362,3497.196674346924,2578,29,12111652.15234375,127100.640625
26,0.1445000022649765,198647.31574058533,3628.1728744506836,2676,30,12590643.23046875,131988.3046875
27,0.14790000021457672,205969.17462348938,3758.549928665161,2774,31,13069634.30859375,136875.96875
28,0.14880000054836273,213583.79769325256,3888.441324234009,2872,32,13548625.38671875,141763.6328125
