Round,Accuracy,Accumulated Client Time,Accumulated Server Time,Accumulated Client Message Counts,Accumulated Server Message Counts,Accumulated Client Message Sizes,Accumulated Server Message Sizes
1,0.11840000003576279,2306.720495223999,85.41727066040039,200,3,77837.01171875,1576.93359375
2,0.16040000319480896,4358.620166778564,106.46247863769531,300,4,155653.41796875,2355.09765625
3,0.24860000610351562,6487.3645305633545,127.97117233276367,400,5,233469.82421875,3133.26171875
4,0.30660000443458557,8614.563941955566,149.7325897216797,500,6,311286.23046875,3911.42578125
5,0.35179999470710754,10709.799528121948,170.6376075744629,600,7,389102.63671875,4689.58984375
6,0.387800008058548,12894.0749168396,192.9619312286377,700,8,466919.04296875,5467.75390625
7,0.41510000824928284,15029.94179725647,215.5742645263672,800,9,544735.44921875,6245.91796875
8,0.43950000405311584,17198.665857315063,236.65857315063477,900,10,622551.85546875,7024.08203125
9,0.4569000005722046,19301.417112350464,258.3334445953369,1000,11,700368.26171875,7802.24609375
10,0.46650001406669617,20762.291431427002,280.1048755645752,1099,13,777406.50390625,8580.796875
11,0.47909998893737793,22780.920028686523,301.5761375427246,1198,14,854444.74609375,9358.9609375
12,0.4918000102043152,24874.265432357788,323.2455253601074,1297,15,931482.98828125,10137.125
13,0.5012000203132629,26953.709840774536,344.83838081359863,1396,16,1008521.23046875,10915.2890625
14,0.5120999813079834,29027.098417282104,367.1088218688965,1495,17,1085559.47265625,11693.453125
15,0.5223000049591064,31097.989559173584,389.42742347717285,1594,18,1162597.71484375,12471.6171875
16,0.5320000052452087,33123.07333946228,412.32919692993164,1693,19,1239635.95703125,13249.78125
17,0.5432000160217285,35177.4423122406,435.14513969421387,1792,20,1316674.19921875,14027.9453125
18,0.5526000261306763,37009.36961174011,457.6859474182129,1891,21,1393712.44140625,14806.109375
19,0.5587999820709229,38978.168964385986,479.9373149871826,1990,22,1470750.68359375,15584.2734375
20,0.5616000294685364,40443.76087188721,501.23143196105957,2088,24,1547010.76171875,16362.8203125
21,0.5692999958992004,42347.52082824707,522.9837894439697,2186,25,1623270.83984375,17140.984375
22,0.5759000182151794,44421.89335823059,544.4111824035645,2284,26,1699530.91796875,17919.1484375
23,0.5814999938011169,45793.86520385742,566.3514137268066,2382,27,1775790.99609375,18697.3125
24,0.5874999761581421,47886.68131828308,589.0920162200928,2480,28,1852051.07421875,19475.4765625
25,0.5931000113487244,49976.109981536865,612.3297214508057,2578,29,1928311.15234375,20253.640625
26,0.598800003528595,52041.590213775635,634.955883026123,2676,30,2004571.23046875,21031.8046875
27,0.6043999791145325,54111.093282699585,657.2716236114502,2774,31,2080831.30859375,21809.96875
28,0.6097000241279602,56171.98991775513,680.1421642303467,2872,32,2157091.38671875,22588.1328125
29,0.6133000254631042,58172.85752296448,703.4463882446289,2970,33,2233351.46484375,23366.296875
30,0.6144000291824341,59631.38437271118,725.2459526062012,3067,35,2308833.37890625,24144.83984375
31,0.6190999746322632,60997.96986579895,746.6256618499756,3164,36,2384315.29296875,24923.00390625
32,0.6248000264167786,62994.762659072876,768.5577869415283,3261,37,2459797.20703125,25701.16796875
33,0.6280999779701233,65018.95523071289,791.7709350585938,3358,38,2535279.12109375,26479.33203125
34,0.6310999989509583,67081.68172836304,817.0700073242188,3455,39,2610761.03515625,27257.49609375
35,0.6341999769210815,69160.46357154846,840.7342433929443,3552,40,2686242.94921875,28035.66015625
36,0.6381000280380249,71239.66789245605,863.7790679931641,3649,41,2761724.86328125,28813.82421875
37,0.6406999826431274,73277.87399291992,886.9895935058594,3746,42,2837206.77734375,29591.98828125
38,0.6438999772071838,75327.08430290222,910.9704494476318,3843,43,2912688.69140625,30370.15234375
39,0.6484000086784363,77453.18126678467,934.4439506530762,3940,44,2988170.60546875,31148.31640625
40,0.6503999829292297,79392.40193367004,956.2520980834961,4036,46,3062874.35546875,31926.85546875
41,0.6546000242233276,81425.56357383728,978.8823127746582,4132,47,3137578.10546875,32705.01953125
42,0.6582000255584717,83406.88395500183,1002.6183128356934,4228,48,3212281.85546875,33483.18359375
43,0.6611999869346619,85404.18076515198,1026.102066040039,4324,49,3286985.60546875,34261.34765625
44,0.6620000004768372,87368.74103546143,1051.1021614074707,4420,50,3361689.35546875,35039.51171875
45,0.6636999845504761,89193.06826591492,1073.0493068695068,4516,51,3436393.10546875,35817.67578125
46,0.6660000085830688,91227.43391990662,1097.357988357544,4612,52,3511096.85546875,36595.83984375
47,0.6680999994277954,93214.98894691467,1120.6331253051758,4708,53,3585800.60546875,37374.00390625
48,0.671500027179718,95198.43101501465,1142.0300006866455,4804,54,3660504.35546875,38152.16796875
49,0.67330002784729,97276.82065963745,1164.994716644287,4900,55,3735208.10546875,38930.33203125
50,0.6743000149726868,98733.71839523315,1186.8493556976318,4995,57,3809133.69140625,39708.8671875
51,0.6723999977111816,100782.78541564941,1210.310459136963,5090,58,3883059.27734375,40487.03125
52,0.6726999878883362,102755.33771514893,1231.0681343078613,5185,59,3956984.86328125,41265.1953125
53,0.6744999885559082,104814.39304351807,1255.2218437194824,5280,60,4030910.44921875,42043.359375
54,0.6758999824523926,106779.14023399353,1276.7093181610107,5375,61,4104836.03515625,42821.5234375
55,0.6773999929428101,108882.10988044739,1299.4601726531982,5470,62,4178761.62109375,43599.6875
56,0.6779000163078308,110759.63020324707,1321.2428092956543,5565,63,4252687.20703125,44377.8515625
57,0.6805999875068665,112735.4142665863,1347.1331596374512,5660,64,4326612.79296875,45156.015625
58,0.6820999979972839,114805.44471740723,1367.9673671722412,5755,65,4400538.37890625,45934.1796875
59,0.6830000281333923,116281.68797492981,1390.1445865631104,5850,66,4474463.96484375,46712.34375
60,0.6851999759674072,117675.31037330627,1411.1747741699219,5944,68,4547611.38671875,47490.875
