Round,Accuracy,Accumulated Client Time,Accumulated Server Time,Accumulated Client Message Counts,Accumulated Server Message Counts,Accumulated Client Message Sizes,Accumulated Server Message Sizes
1,0.13459999859333038,2235.1233959198,86.43770217895508,200,3,77837.01171875,1576.93359375
2,0.16619999706745148,4356.1766147613525,107.60331153869629,300,4,155653.41796875,2355.09765625
3,0.21330000460147858,6518.957853317261,129.49800491333008,400,5,233469.82421875,3133.26171875
4,0.26910001039505005,8679.78572845459,151.34763717651367,500,6,311286.23046875,3911.42578125
5,0.3319999873638153,10793.062210083008,172.70851135253906,600,7,389102.63671875,4689.58984375
6,0.4011000096797943,12901.44157409668,194.34094429016113,700,8,466919.04296875,5467.75390625
7,0.4438999891281128,14990.54217338562,216.94040298461914,800,9,544735.44921875,6245.91796875
8,0.47530001401901245,17187.53457069397,238.88635635375977,900,10,622551.85546875,7024.08203125
9,0.4966000020503998,19310.867071151733,263.0932331085205,1000,11,700368.26171875,7802.24609375
10,0.5181999802589417,20754.921436309814,284.6570014953613,1099,13,777406.50390625,8580.796875
11,0.5331000089645386,22735.227584838867,307.4612617492676,1198,14,854444.74609375,9358.9609375
12,0.5447999835014343,24866.023778915405,329.7121524810791,1297,15,931482.98828125,10137.125
13,0.5579000115394592,26927.83260345459,351.55248641967773,1396,16,1008521.23046875,10915.2890625
14,0.5684000253677368,29050.04358291626,374.3445873260498,1495,17,1085559.47265625,11693.453125
15,0.5777999758720398,31116.89567565918,397.6283073425293,1594,18,1162597.71484375,12471.6171875
16,0.5878999829292297,33193.78399848938,420.6125736236572,1693,19,1239635.95703125,13249.78125
17,0.5964000225067139,35289.57748413086,444.0479278564453,1792,20,1316674.19921875,14027.9453125
18,0.6051999926567078,37379.68111038208,467.70548820495605,1891,21,1393712.44140625,14806.109375
19,0.6121000051498413,39484.25030708313,492.40970611572266,1990,22,1470750.68359375,15584.2734375
20,0.6241999864578247,40921.23007774353,513.624906539917,2088,24,1547010.76171875,16362.8203125
21,0.64410001039505,42777.73952484131,536.3302230834961,2186,25,1623270.83984375,17140.984375
22,0.6531999707221985,44682.54566192627,558.0072402954102,2284,26,1699530.91796875,17919.1484375
23,0.6592000126838684,46651.32188796997,582.2696685791016,2382,27,1775790.99609375,18697.3125
24,0.6638000011444092,48713.77229690552,604.6609878540039,2480,28,1852051.07421875,19475.4765625
25,0.6686000227928162,50725.63648223877,627.5250911712646,2578,29,1928311.15234375,20253.640625
26,0.6721000075340271,52500.36382675171,651.0062217712402,2676,30,2004571.23046875,21031.8046875
27,0.6747999787330627,53921.329736709595,672.7814674377441,2774,31,2080831.30859375,21809.96875
28,0.6784999966621399,55933.41040611267,695.7619190216064,2872,32,2157091.38671875,22588.1328125
29,0.6822999715805054,57567.046880722046,717.7157402038574,2970,33,2233351.46484375,23366.296875
30,0.6639000177383423,59006.90793991089,739.9263381958008,3067,35,2308833.37890625,24144.83984375
31,0.6764000058174133,60801.822662353516,762.3560428619385,3164,36,2384315.29296875,24923.00390625
32,0.6843000054359436,62168.0543422699,783.4067344665527,3261,37,2459797.20703125,25701.16796875
33,0.6890000104904175,63697.9603767395,805.5503368377686,3358,38,2535279.12109375,26479.33203125
34,0.6924999952316284,65680.93943595886,829.2808532714844,3455,39,2610761.03515625,27257.49609375
35,0.696399986743927,67715.79003334045,852.3344993591309,3552,40,2686242.94921875,28035.66015625
36,0.7006000280380249,69823.53162765503,876.8868446350098,3649,41,2761724.86328125,28813.82421875
37,0.7038000226020813,71837.70155906677,899.7223377227783,3746,42,2837206.77734375,29591.98828125
38,0.7063000202178955,73827.54468917847,926.5093803405762,3843,43,2912688.69140625,30370.15234375
39,0.7091000080108643,75882.17306137085,949.260950088501,3940,44,2988170.60546875,31148.31640625
40,0.6833999752998352,77247.1091747284,970.095157623291,4036,46,3062874.35546875,31926.85546875
41,0.6992999911308289,79155.78627586365,992.4829006195068,4132,47,3137578.10546875,32705.01953125
42,0.7052000164985657,81163.81573677063,1016.4592266082764,4228,48,3212281.85546875,33483.18359375
43,0.7087000012397766,83209.75065231323,1040.9691333770752,4324,49,3286985.60546875,34261.34765625
44,0.7110999822616577,85208.78601074219,1062.96968460083,4420,50,3361689.35546875,35039.51171875
45,0.7139000296592712,86600.44622421265,1084.5530033111572,4516,51,3436393.10546875,35817.67578125
46,0.7163000106811523,87994.57287788391,1106.0092449188232,4612,52,3511096.85546875,36595.83984375
47,0.718999981880188,89566.57838821411,1129.1053295135498,4708,53,3585800.60546875,37374.00390625
48,0.7211999893188477,91525.77090263367,1150.5634784698486,4804,54,3660504.35546875,38152.16796875
49,0.7235999703407288,93581.27880096436,1173.9435195922852,4900,55,3735208.10546875,38930.33203125
50,0.7282999753952026,94870.76354026794,1195.2369213104248,4995,57,3809133.69140625,39708.8671875
51,0.724399983882904,96740.85545539856,1217.5846099853516,5090,58,3883059.27734375,40487.03125
52,0.7214999794960022,98775.42018890381,1238.3124828338623,5185,59,3956984.86328125,41265.1953125
53,0.7208999991416931,100727.13017463684,1261.5633010864258,5280,60,4030910.44921875,42043.359375
54,0.722100019454956,102703.77469062805,1285.0985527038574,5375,61,4104836.03515625,42821.5234375
55,0.7232999801635742,104712.08810806274,1307.1849346160889,5470,62,4178761.62109375,43599.6875
56,0.7249000072479248,106639.52612876892,1329.2310237884521,5565,63,4252687.20703125,44377.8515625
57,0.7275999784469604,108516.64447784424,1353.2605171203613,5660,64,4326612.79296875,45156.015625
58,0.7293000221252441,110469.01106834412,1375.3838539123535,5755,65,4400538.37890625,45934.1796875
59,0.7312999963760376,112471.64988517761,1397.4876403808594,5850,66,4474463.96484375,46712.34375
60,0.7384999990463257,113861.07611656189,1418.921709060669,5944,68,4547611.38671875,47490.875
61,0.7394000291824341,115719.2223072052,1441.080093383789,6038,69,4620758.80859375,48269.0390625
62,0.7404999732971191,117641.8285369873,1462.6033306121826,6132,70,4693906.23046875,49047.203125
63,0.7426000237464905,119465.2955532074,1483.2706451416016,6226,71,4767053.65234375,49825.3671875
64,0.7440999746322632,121428.2693862915,1508.1651210784912,6320,72,4840201.07421875,50603.53125
65,0.7452999949455261,123187.37363815308,1529.3712615966797,6414,73,4913348.49609375,51381.6953125
66,0.7473999857902527,125148.49758148193,1551.6693592071533,6508,74,4986495.91796875,52159.859375
67,0.7491000294685364,126944.39840316772,1573.1196403503418,6602,75,5059643.33984375,52938.0234375
68,0.7505000233650208,128783.77723693848,1597.2082614898682,6696,76,5132790.76171875,53716.1875
69,0.7513999938964844,130723.78396987915,1619.041919708252,6790,77,5205938.18359375,54494.3515625
70,0.7559000253677368,132011.48962974548,1638.7641429901123,6883,79,5278307.44140625,55272.87890625
71,0.7541000247001648,133730.12328147888,1659.8987579345703,6976,80,5350676.69921875,56051.04296875
72,0.751800000667572,135447.86190986633,1683.603048324585,7069,81,5423045.95703125,56829.20703125
73,0.7523000240325928,137445.90663909912,1706.3961029052734,7162,82,5495415.21484375,57607.37109375
74,0.7534999847412109,139362.22577095032,1726.7773151397705,7255,83,5567784.47265625,58385.53515625
75,0.7542999982833862,141301.76782608032,1747.8795051574707,7348,84,5640153.73046875,59163.69921875
76,0.7555000185966492,143295.88627815247,1772.465705871582,7441,85,5712522.98828125,59941.86328125
77,0.756600022315979,144691.40625,1793.999433517456,7534,86,5784892.24609375,60720.02734375
78,0.758400022983551,146389.36591148376,1814.8951530456543,7627,87,5857261.50390625,61498.19140625
79,0.7595000267028809,148294.04735565186,1836.0874652862549,7720,88,5929630.76171875,62276.35546875
80,0.7613999843597412,149666.3854122162,1856.7023277282715,7812,90,6001221.85546875,63054.87890625
81,0.7627000212669373,151611.45901679993,1878.1743049621582,7904,91,6072812.94921875,63833.04296875
82,0.7627999782562256,153521.89898490906,1898.8752365112305,7996,92,6144404.04296875,64611.20703125
83,0.7635999917984009,155367.80524253845,1923.2213497161865,8088,93,6215995.13671875,65389.37109375
