Round,Accuracy,Accumulated Client Time,Accumulated Server Time,Accumulated Client Message Counts,Accumulated Server Message Counts,Accumulated Client Message Sizes,Accumulated Server Message Sizes
1,0.11840000003576279,2282.5546264648438,76.51662826538086,200,3,77837.01171875,1576.93359375
2,0.16040000319480896,4383.998870849609,97.62740135192871,300,4,155653.41796875,2355.09765625
3,0.24860000610351562,6565.452814102173,124.29380416870117,400,5,233469.82421875,3133.26171875
4,0.30660000443458557,8680.37748336792,145.71452140808105,500,6,311286.23046875,3911.42578125
5,0.35179999470710754,10765.811920166016,166.91899299621582,600,7,389102.63671875,4689.58984375
6,0.387800008058548,12730.416059494019,188.3831024169922,700,8,466919.04296875,5467.75390625
7,0.41519999504089355,14162.325620651245,209.70749855041504,800,9,544735.44921875,6245.91796875
8,0.43950000405311584,16261.513948440552,231.11653327941895,900,10,622551.85546875,7024.08203125
9,0.4569000005722046,18356.679439544678,252.396821975708,1000,11,700368.26171875,7802.24609375
10,0.47110000252723694,20342.34070777893,273.9439010620117,1100,12,778184.66796875,8580.41015625
11,0.48570001125335693,22498.279809951782,296.97489738464355,1200,13,856001.07421875,9358.57421875
12,0.49799999594688416,24621.80995941162,318.88508796691895,1300,14,933817.48046875,10136.73828125
13,0.5099999904632568,26733.431577682495,341.219425201416,1400,15,1011633.88671875,10914.90234375
14,0.5202999711036682,28877.229928970337,364.1176223754883,1500,16,1089450.29296875,11693.06640625
15,0.5332000255584717,30977.704763412476,386.2347602844238,1600,17,1167266.69921875,12471.23046875
16,0.5436999797821045,33063.52138519287,408.5056781768799,1700,18,1245083.10546875,13249.39453125
17,0.5540000200271606,35164.59774971008,432.7559471130371,1800,19,1322899.51171875,14027.55859375
18,0.5633999705314636,36793.44296455383,454.5745849609375,1900,20,1400715.91796875,14805.72265625
19,0.5716000199317932,39012.49694824219,477.3988723754883,2000,21,1478532.32421875,15583.88671875
20,0.5789999961853027,40661.84425354004,499.1586208343506,2100,22,1556348.73046875,16362.05078125
21,0.5864999890327454,42492.50102043152,522.1190452575684,2200,23,1634165.13671875,17140.21484375
22,0.593500018119812,44570.239305496216,546.0484027862549,2300,24,1711981.54296875,17918.37890625
23,0.599399983882904,46626.8253326416,569.857120513916,2400,25,1789797.94921875,18696.54296875
24,0.6065999865531921,48785.28308868408,593.8787460327148,2500,26,1867614.35546875,19474.70703125
25,0.6122000217437744,50883.00538063049,618.0727481842041,2600,27,1945430.76171875,20252.87109375
26,0.6166999936103821,52950.18815994263,640.7949924468994,2700,28,2023247.16796875,21031.03515625
27,0.6205999851226807,54425.6808757782,663.0451679229736,2800,29,2101063.57421875,21809.19921875
28,0.6247000098228455,56569.94342803955,687.0772838592529,2900,30,2178879.98046875,22587.36328125
29,0.6302000284194946,58669.00587081909,711.7676734924316,3000,31,2256696.38671875,23365.52734375
30,0.633899986743927,60716.79472923279,734.5492839813232,3100,32,2334512.79296875,24143.69140625
31,0.6391000151634216,62827.53539085388,758.0959796905518,3200,33,2412329.19921875,24921.85546875
32,0.6431000232696533,64892.584562301636,782.5376987457275,3300,34,2490145.60546875,25700.01953125
33,0.6468999981880188,67018.16177368164,807.2929382324219,3400,35,2567962.01171875,26478.18359375
34,0.6488000154495239,69147.21941947937,830.9550285339355,3500,36,2645778.41796875,27256.34765625
35,0.651199996471405,71279.80780601501,854.7101020812988,3600,37,2723594.82421875,28034.51171875
36,0.6546000242233276,73408.58435630798,882.1818828582764,3700,38,2801411.23046875,28812.67578125
37,0.6568999886512756,75454.0662765503,905.9627056121826,3800,39,2879227.63671875,29590.83984375
38,0.6589999794960022,76934.35382843018,927.6213645935059,3900,40,2957044.04296875,30369.00390625
39,0.661899983882904,79045.49264907837,951.6596794128418,4000,41,3034860.44921875,31147.16796875
40,0.664900004863739,80536.91744804382,974.1301536560059,4100,42,3112676.85546875,31925.33203125
41,0.6668999791145325,82669.6503162384,999.2740154266357,4200,43,3190493.26171875,32703.49609375
42,0.6696000099182129,84740.93890190125,1023.9629745483398,4300,44,3268309.66796875,33481.66015625
43,0.6714000105857849,86816.52545928955,1047.454833984375,4400,45,3346126.07421875,34259.82421875
44,0.6733999848365784,88923.76208305359,1071.1464881896973,4500,46,3423942.48046875,35037.98828125
45,0.6751999855041504,91012.32552528381,1095.3843593597412,4600,47,3501758.88671875,35816.15234375
46,0.6777999997138977,93129.39524650574,1119.5783615112305,4700,48,3579575.29296875,36594.31640625
47,0.6801000237464905,94835.52575111389,1141.66259765625,4800,49,3657391.69921875,37372.48046875
48,0.6830000281333923,96982.47861862183,1166.3877964019775,4900,50,3735208.10546875,38150.64453125
49,0.6848999857902527,99072.18766212463,1190.6650066375732,5000,51,3813024.51171875,38928.80859375
50,0.6862000226974487,101139.99342918396,1214.3571376800537,5100,52,3890840.91796875,39706.97265625
51,0.6876000165939331,103285.48002243042,1239.5858764648438,5200,53,3968657.32421875,40485.13671875
52,0.6886000037193298,104707.30972290039,1261.7835998535156,5300,54,4046473.73046875,41263.30078125
53,0.6909999847412109,106719.59853172302,1285.9344482421875,5400,55,4124290.13671875,42041.46484375
54,0.692300021648407,108912.00137138367,1325.0393867492676,5500,56,4202106.54296875,42819.62890625
55,0.6933000087738037,110993.43037605286,1348.4060764312744,5600,57,4279922.94921875,43597.79296875
56,0.6948000192642212,113105.80277442932,1373.7499713897705,5700,58,4357739.35546875,44375.95703125
57,0.6958000063896179,115217.21267700195,1398.317575454712,5800,59,4435555.76171875,45154.12109375
58,0.6972000002861023,117400.97379684448,1423.7477779388428,5900,60,4513372.16796875,45932.28515625
59,0.698199987411499,119509.40132141113,1446.7005729675293,6000,61,4591188.57421875,46710.44921875
60,0.6995999813079834,121658.57410430908,1471.4055061340332,6100,62,4669004.98046875,47488.61328125
61,0.7008000016212463,123813.56573104858,1496.1445331573486,6200,63,4746821.38671875,48266.77734375
62,0.7019000053405762,125925.67753791809,1519.8211669921875,6300,64,4824637.79296875,49044.94140625
63,0.7024999856948853,127980.7870388031,1542.6523685455322,6400,65,4902454.19921875,49823.10546875
64,0.7035999894142151,130065.52767753601,1567.0759677886963,6500,66,4980270.60546875,50601.26953125
65,0.7049999833106995,132134.18126106262,1591.8869972229004,6600,67,5058087.01171875,51379.43359375
66,0.7059999704360962,134200.90651512146,1616.321325302124,6700,68,5135903.41796875,52157.59765625
67,0.7057999968528748,136275.7420539856,1639.4152641296387,6800,69,5213719.82421875,52935.76171875
68,0.70660001039505,138401.7322063446,1664.2746925354004,6900,70,5291536.23046875,53713.92578125
69,0.7074999809265137,140083.66012573242,1687.5789165496826,7000,71,5369352.63671875,54492.08984375
70,0.7084000110626221,142136.15822792053,1712.1868133544922,7100,72,5447169.04296875,55270.25390625
71,0.7093999981880188,144213.62853050232,1735.1043224334717,7200,73,5524985.44921875,56048.41796875
72,0.7103000283241272,146311.23042106628,1759.9914073944092,7300,74,5602801.85546875,56826.58203125
73,0.7109000086784363,148394.4330215454,1784.4734191894531,7400,75,5680618.26171875,57604.74609375
74,0.7113000154495239,150495.88465690613,1808.1121444702148,7500,76,5758434.66796875,58382.91015625
75,0.711899995803833,152626.01041793823,1830.449104309082,7600,77,5836251.07421875,59161.07421875
76,0.7125999927520752,154598.774433136,1854.7093868255615,7700,78,5914067.48046875,59939.23828125
77,0.7128000259399414,156745.77832221985,1878.5719871520996,7800,79,5991883.88671875,60717.40234375
78,0.7132999897003174,158923.81978034973,1902.1451473236084,7900,80,6069700.29296875,61495.56640625
79,0.7141000032424927,161048.9683151245,1925.441026687622,8000,81,6147516.69921875,62273.73046875
80,0.7146000266075134,163130.22112846375,1951.6792297363281,8100,82,6225333.10546875,63051.89453125
81,0.7152000069618225,165222.2557067871,1975.1203060150146,8200,83,6303149.51171875,63830.05859375
82,0.7156999707221985,167343.5411453247,1999.7966289520264,8300,84,6380965.91796875,64608.22265625
83,0.7161999940872192,169419.0535545349,2022.2721099853516,8400,85,6458782.32421875,65386.38671875
84,0.7164999842643738,171562.76679039001,2048.3996868133545,8500,86,6536598.73046875,66164.55078125
85,0.7174000144004822,173702.60906219482,2072.5979804992676,8600,87,6614415.13671875,66942.71484375
86,0.7182000279426575,175799.42393302917,2095.771074295044,8700,88,6692231.54296875,67720.87890625
87,0.7178999781608582,177982.46502876282,2118.5576915740967,8800,89,6770047.94921875,68499.04296875
88,0.7190999984741211,180124.43494796753,2144.130229949951,8900,90,6847864.35546875,69277.20703125
89,0.7196000218391418,182299.05557632446,2168.9395904541016,9000,91,6925680.76171875,70055.37109375
90,0.7200999855995178,184459.72728729248,2192.5673484802246,9100,92,7003497.16796875,70833.53515625
91,0.7203999757766724,186617.07377433777,2214.63942527771,9200,93,7081313.57421875,71611.69921875
92,0.72079998254776,188693.84956359863,2239.401340484619,9300,94,7159129.98046875,72389.86328125
93,0.7210000157356262,190718.40000152588,2263.6778354644775,9400,95,7236946.38671875,73168.02734375
94,0.7215999960899353,192853.16133499146,2287.109375,9500,96,7314762.79296875,73946.19140625
95,0.7222999930381775,195219.37012672424,2314.1911029815674,9600,97,7392579.19921875,74724.35546875
96,0.7229999899864197,197433.73656272888,2340.0628566741943,9700,98,7470395.60546875,75502.51953125
97,0.7233999967575073,199714.6074771881,2365.2853965759277,9800,99,7548212.01171875,76280.68359375
98,0.7239000201225281,201905.3430557251,2388.089656829834,9900,100,7626028.41796875,77058.84765625
99,0.7242000102996826,204083.88590812683,2410.175085067749,10000,101,7703844.82421875,77837.01171875
100,0.7247999906539917,206168.0519580841,2435.4491233825684,10100,102,7781661.23046875,78615.17578125
