Round,Accuracy,Accumulated Client Time,Accumulated Server Time,Accumulated Client Message Counts,Accumulated Server Message Counts,Accumulated Client Message Sizes,Accumulated Server Message Sizes
1,0.13459999859333038,2306.4701557159424,90.78145027160645,200,3,77837.01171875,1576.93359375
2,0.16619999706745148,4411.7631912231445,111.94920539855957,300,4,155653.41796875,2355.09765625
3,0.21330000460147858,6479.544878005981,133.62956047058105,400,5,233469.82421875,3133.26171875
4,0.26910001039505005,8594.265460968018,155.1046371459961,500,6,311286.23046875,3911.42578125
5,0.3319999873638153,10723.508358001709,176.22041702270508,600,7,389102.63671875,4689.58984375
6,0.4011000096797943,12619.704961776733,197.8893280029297,700,8,466919.04296875,5467.75390625
7,0.4438999891281128,14691.982507705688,219.91825103759766,800,9,544735.44921875,6245.91796875
8,0.47530001401901245,16837.27502822876,242.22350120544434,900,10,622551.85546875,7024.08203125
9,0.4966999888420105,18964.85996246338,264.7888660430908,1000,11,700368.26171875,7802.24609375
10,0.5126000046730042,20984.914541244507,287.1558666229248,1100,12,778184.66796875,8580.41015625
11,0.5292999744415283,23157.40180015564,309.694766998291,1200,13,856001.07421875,9358.57421875
12,0.5462999939918518,24662.055253982544,331.7282199859619,1300,14,933817.48046875,10136.73828125
13,0.5598999857902527,26712.43119239807,353.3971309661865,1400,15,1011633.88671875,10914.90234375
14,0.5723999738693237,28827.101469039917,376.6598701477051,1500,16,1089450.29296875,11693.06640625
15,0.5824000239372253,30978.44886779785,398.822546005249,1600,17,1167266.69921875,12471.23046875
16,0.5925999879837036,33057.17372894287,422.01828956604004,1700,18,1245083.10546875,13249.39453125
17,0.6028000116348267,35207.271099090576,445.4216957092285,1800,19,1322899.51171875,14027.55859375
18,0.6126000285148621,37356.7259311676,467.557430267334,1900,20,1400715.91796875,14805.72265625
19,0.6197999715805054,39476.41110420227,489.8078441619873,2000,21,1478532.32421875,15583.88671875
20,0.6274999976158142,41591.61400794983,513.8134956359863,2100,22,1556348.73046875,16362.05078125
21,0.6359000205993652,43699.29122924805,536.3819599151611,2200,23,1634165.13671875,17140.21484375
22,0.6419000029563904,45823.08387756348,559.9570274353027,2300,24,1711981.54296875,17918.37890625
23,0.6470000147819519,47997.074604034424,583.5256576538086,2400,25,1789797.94921875,18696.54296875
24,0.652400016784668,50200.23488998413,607.1887016296387,2500,26,1867614.35546875,19474.70703125
25,0.6565999984741211,52243.51453781128,630.0497055053711,2600,27,1945430.76171875,20252.87109375
26,0.6611999869346619,54280.12919425964,653.677225112915,2700,28,2023247.16796875,21031.03515625
27,0.6657999753952026,56430.84979057312,676.5174865722656,2800,29,2101063.57421875,21809.19921875
28,0.6700999736785889,58456.82740211487,700.0601291656494,2900,30,2178879.98046875,22587.36328125
29,0.6746000051498413,60562.14380264282,723.0257987976074,3000,31,2256696.38671875,23365.52734375
30,0.6783000230789185,62529.085874557495,746.0899353027344,3100,32,2334512.79296875,24143.69140625
31,0.6818000078201294,64647.11022377014,769.3190574645996,3200,33,2412329.19921875,24921.85546875
32,0.6855000257492065,66134.69576835632,792.2136783599854,3300,34,2490145.60546875,25700.01953125
33,0.689300000667572,67935.96696853638,816.0529136657715,3400,35,2567962.01171875,26478.18359375
34,0.692799985408783,70025.12240409851,839.219331741333,3500,36,2645778.41796875,27256.34765625
35,0.6952000260353088,71665.62104225159,862.555742263794,3600,37,2723594.82421875,28034.51171875
36,0.6991999745368958,73774.74665641785,888.967752456665,3700,38,2801411.23046875,28812.67578125
37,0.7020999789237976,75911.4134311676,915.2460098266602,3800,39,2879227.63671875,29590.83984375
38,0.7055000066757202,78050.90856552124,939.1281604766846,3900,40,2957044.04296875,30369.00390625
39,0.7081999778747559,80098.28615188599,961.7919921875,4000,41,3034860.44921875,31147.16796875
40,0.7102000117301941,82140.87653160095,986.854076385498,4100,42,3112676.85546875,31925.33203125
41,0.7125999927520752,84225.0509262085,1010.906457901001,4200,43,3190493.26171875,32703.49609375
42,0.715499997138977,86301.83434486389,1033.8740348815918,4300,44,3268309.66796875,33481.66015625
43,0.717199981212616,88089.6406173706,1057.1725368499756,4400,45,3346126.07421875,34259.82421875
44,0.7199000120162964,90211.68637275696,1082.0071697235107,4500,46,3423942.48046875,35037.98828125
45,0.7228000164031982,92326.21121406555,1105.4296493530273,4600,47,3501758.88671875,35816.15234375
46,0.7254999876022339,94397.39942550659,1130.7013034820557,4700,48,3579575.29296875,36594.31640625
47,0.7271000146865845,96527.79960632324,1155.1704406738281,4800,49,3657391.69921875,37372.48046875
48,0.7297999858856201,98625.10514259338,1181.8656921386719,4900,50,3735208.10546875,38150.64453125
49,0.7311999797821045,101850.73566436768,1205.0797939300537,5000,51,3813024.51171875,38928.80859375
50,0.7337999939918518,103937.07847595215,1228.9841175079346,5100,52,3890840.91796875,39706.97265625
51,0.7361999750137329,105570.52159309387,1250.875473022461,5200,53,3968657.32421875,40485.13671875
52,0.7379000186920166,107566.98894500732,1277.0206928253174,5300,54,4046473.73046875,41263.30078125
53,0.7407000064849854,109536.07439994812,1299.5917797088623,5400,55,4124290.13671875,42041.46484375
54,0.7426000237464905,111610.87822914124,1324.8600959777832,5500,56,4202106.54296875,42819.62890625
55,0.7440999746322632,113392.94576644897,1347.0358848571777,5600,57,4279922.94921875,43597.79296875
56,0.7465999722480774,115407.69481658936,1372.4555969238281,5700,58,4357739.35546875,44375.95703125
57,0.7479000091552734,117109.66897010803,1395.2248096466064,5800,59,4435555.76171875,45154.12109375
58,0.7494000196456909,119249.36962127686,1418.9655780792236,5900,60,4513372.16796875,45932.28515625
59,0.7509999871253967,121318.26877593994,1441.352128982544,6000,61,4591188.57421875,46710.44921875
60,0.7527999877929688,123355.82447052002,1467.526912689209,6100,62,4669004.98046875,47488.61328125
61,0.7541000247001648,125433.54415893555,1489.9685382843018,6200,63,4746821.38671875,48266.77734375
62,0.7563999891281128,127468.829870224,1513.2205486297607,6300,64,4824637.79296875,49044.94140625
63,0.7577000260353088,129484.19308662415,1535.5591773986816,6400,65,4902454.19921875,49823.10546875
64,0.7591999769210815,131646.1238861084,1562.0248317718506,6500,66,4980270.60546875,50601.26953125
65,0.7609000205993652,133731.20164871216,1585.4289531707764,6600,67,5058087.01171875,51379.43359375
66,0.7623999714851379,135802.12330818176,1609.734058380127,6700,68,5135903.41796875,52157.59765625
67,0.7634000182151794,137873.64315986633,1631.4940452575684,6800,69,5213719.82421875,52935.76171875
68,0.7648000121116638,140024.94049072266,1657.1893692016602,6900,70,5291536.23046875,53713.92578125
69,0.7666000127792358,142070.27864456177,1679.8076629638672,7000,71,5369352.63671875,54492.08984375
70,0.7674999833106995,144195.6968307495,1702.6309967041016,7100,72,5447169.04296875,55270.25390625
71,0.7682999968528748,145849.9915599823,1724.367618560791,7200,73,5524985.44921875,56048.41796875
72,0.7695000171661377,147948.05192947388,1750.3657341003418,7300,74,5602801.85546875,56826.58203125
73,0.770799994468689,150072.48044013977,1772.7935314178467,7400,75,5680618.26171875,57604.74609375
74,0.7720999717712402,152157.0224761963,1796.1490154266357,7500,76,5758434.66796875,58382.91015625
75,0.7734000086784363,154216.19987487793,1818.0863857269287,7600,77,5836251.07421875,59161.07421875
76,0.774399995803833,156276.0775089264,1843.8565731048584,7700,78,5914067.48046875,59939.23828125
77,0.7760999798774719,157742.844581604,1865.6857013702393,7800,79,5991883.88671875,60717.40234375
78,0.7767999768257141,160818.3991909027,1888.8492584228516,7900,80,6069700.29296875,61495.56640625
79,0.7782999873161316,162954.0045261383,1912.384033203125,8000,81,6147516.69921875,62273.73046875
80,0.7796000242233276,165008.75663757324,1937.7033710479736,8100,82,6225333.10546875,63051.89453125
81,0.7810999751091003,167033.65993499756,1959.0823650360107,8200,83,6303149.51171875,63830.05859375
82,0.7821999788284302,168843.26004981995,1981.525182723999,8300,84,6380965.91796875,64608.22265625
83,0.7831000089645386,170778.22947502136,2003.2520294189453,8400,85,6458782.32421875,65386.38671875
84,0.7839000225067139,172923.45714569092,2029.676914215088,8500,86,6536598.73046875,66164.55078125
85,0.784600019454956,174987.22887039185,2051.1443614959717,8600,87,6614415.13671875,66942.71484375
86,0.7851999998092651,177016.59417152405,2074.345111846924,8700,88,6692231.54296875,67720.87890625
87,0.7856000065803528,179207.95273780823,2098.0982780456543,8800,89,6770047.94921875,68499.04296875
88,0.7867000102996826,181404.2522907257,2125.7264614105225,8900,90,6847864.35546875,69277.20703125
89,0.7874000072479248,182996.93870544434,2146.902322769165,9000,91,6925680.76171875,70055.37109375
90,0.7879999876022339,185044.98481750488,2170.780658721924,9100,92,7003497.16796875,70833.53515625
91,0.7893999814987183,187105.16095161438,2192.485570907593,9200,93,7081313.57421875,71611.69921875
92,0.7903000116348267,189206.14194869995,2219.0372943878174,9300,94,7159129.98046875,72389.86328125
93,0.7907999753952026,191282.47213363647,2241.030216217041,9400,95,7236946.38671875,73168.02734375
94,0.7914000153541565,193381.65187835693,2264.432191848755,9500,96,7314762.79296875,73946.19140625
